trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
962,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.80678477885487,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
963,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.11234635745447,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
964,False,"{'a': 0.5, 'e': 1.0}",20,9,-9.957431834025254,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
965,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.0184261081462,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
966,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.75566681843106,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
967,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.80171446311829,"{0: 8, 1: 4, 2: 8, 3: 0, 4: 0}",0
968,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.24214813061314,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
969,False,"{'a': 0.5, 'e': 1.0}",20,10,-28.552212224920083,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
970,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.00830452839956,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
971,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.62371213903282,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
972,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.45940194560609,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
973,False,"{'a': 0.5, 'e': 1.0}",20,12,-20.084391286782953,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
974,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.1275437026717,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
975,False,"{'a': 0.5, 'e': 1.0}",20,7,-59.60704007067644,"{0: 6, 1: 1, 2: 6, 3: 0, 4: 0}",1
976,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.29823281513105,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
977,False,"{'a': 0.5, 'e': 1.0}",20,1,-41.81939190712812,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 0}",1
978,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.28886786217342,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 0}",0
979,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.83136883147225,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
